year,date,type,registration,operator,fatalities,location,country,category,damage,season
1919,1919-08-02,Caproni Ca.48,,Caproni,14,Verona,Italy,Accident,hull-loss,Summer
1919,1919-08-11,Felixstowe Fury,N123,RAF,1,near Felixtowe RNAS,U.K.,Accident,hull-loss,Summer
1920,1920-02-23,Handley Page O/7,G-EANV,Handley Page Transport,0,"Acadia Siding, C...",South Africa,Accident,hull-loss,Winter
1920,1920-02-25,Handley Page O/400,G-EAMC,Handley Page Transport,0,near El Shereik,Sudan,Accident,hull-loss,Winter
1920,1920-06-30,Handley Page O/400,G-EAKE,Handley Page Transport,0,ÃstanÃ¥,Sweden,Accident,hull-loss,Summer
1920,1920-12-14,Handley Page O/400,G-EAMA,Handley Page Transport,4,Golders Green,U.K.,Accident,hull-loss,Winter
1921,1921-01-15,Aeromarine 75,,Aeromarine Airways,0,Havana harbour,Cuba,Other Occurrence,hull-loss,Winter
1921,1921-03-02,Handley Page O/7,G-IAAC,HP Indo-Burmese Transport,0,Meerut,India,Other Occurrence,hull-loss,Spring
1921,1921-03-04,Caproni Ca.60 Noviplano,,Caproni,0,Lago Maggiore,Italy,Accident,hull-loss,Spring
1921,1921-08-26,Farman F.60 Goliath,O-BLAN,SNETA,2,near Calais [The Engl...,France,Accident,hull-loss,Summer
1921,1921-09-27,Farman F.60 Goliath,O-BRUN,SNETA,0,Evere Airfield,Belgium,Other Occurrence,hull-loss,Fall
1921,1921-09-27,Farman F.60 Goliath,O-BLEU,SNETA,0,Evere Airfield,Belgium,Other Occurrence,hull-loss,Fall
1922,1922-01-22,Handley Page O/10,G-EATN,Handley Page Transport,0,near Senlis,France,Accident,hull-loss,Winter
1922,1922-03-31,Handley Page O/7,,Chinese Government,14,near Beijing-Nanyuan ...,China,Accident,hull-loss,Spring
1922,1922-04-07,Farman F.60 Goliath,F-GEAD,Grands Express AÃ©riens,5,Thieuloy-Saint-A...,France,Accident,hull-loss,Spring
1923,1923-01-13,Aeromarine 75,,Aeromarine Airways,4,"near Havana, Cuba",Atlantic Ocean,Accident,hull-loss,Winter
1923,1923-05-14,Farman F.60 Goliath,F-AEBY,Air Union,6,"Monsures, Somme",France,Accident,hull-loss,Spring
1923,1923-06-25,Farman F.60 Goliath,F-AEDL,Air Union,0,near Ãtaples,France,Accident,hull-loss,Summer
1923,1923-07-10,Handley Page W.8,G-EAPJ,Handley Page Transport,0,Poix,France,Accident,hull-loss,Summer
1923,1923-07-15,Farman F.60 Goliath,F-AEEE,Compagnie AÃ©rienne FranÃ§aise,0,near Valenciennes,France,Accident,hull-loss,Summer
1923,1923-08-27,Farman F.60 Goliath,F-AECB,Air Union,1,"East Malling, Kent",U.K.,Accident,hull-loss,Summer
1923,,Aeromarine 75,,Aeromarine Airways,0,Havana harbour,Cuba,Other Occurrence,hull-loss,
1924,1924-08-06,Farman F.60 Goliath,F-ADDT,Air Union,0,"Golden Green, ne...",U.K.,Accident,repairable damage,Summer
1924,1924-08-24,Farman F.61 Goliath,F-ADFP,SGTA,0,near Amsterdam-Schiph...,Netherlands,Accident,hull-loss,Summer
1925,1925-10-16,Farman F.60 Goliath,F-HMFU,Air Union,3,"Wadhurst, East S...",U.K.,Accident,hull-loss,Fall
1925,1925-11-14,Farman F.60 Goliath,F-FHMY,Air Union,0,near Boulogne [Englis...,France,Accident,repairable damage,Fall
1926,1926-08-18,BlÃ©riot 155,F-AIEB,Air Union,4,"Hurst, near Ashf...",U.K.,Accident,hull-loss,Summer
1926,1926-10-02,BlÃ©riot 155,F-AICQ,Air Union,7,"Leigh, Kent",U.K.,Accident,hull-loss,Fall
1926,1926-10-21,Handley Page W.10,G-EBMS,Imperial Airways,0,English Channel,U.K.,Accident,hull-loss,Fall
1927,1927-05-05,Farman F.61 Goliath,F-ADFN,SGTA,2,Atlantic Ocean,Atlantic Ocean,Accident,hull-loss,Spring
1927,1927-08-22,Fokker F.VIII,H-NADU,KLM,1,"St. Julians, Sev...",U.K.,Accident,hull-loss,Summer
1928,1928-02-15,Handley Page W.8b,G-EBBG,Imperial Airways,0,near Abbeville,France,Accident,hull-loss,Winter
1928,1928-03-11,Farman F.60 Goliath,F-AEFC,Air Union,2,"near Folkestone, Kent...",U.K.,Accident,hull-loss,Spring
1928,1928-04-11,Fokker F.VIII,H-NAEE,KLM,0,Nigtevecht,Netherlands,Accident,hull-loss,Spring
1928,1928-04-19,Junkers G.24,D-946,Deutsche Lufthansa,0,Spaichingen,Germany,Accident,hull-loss,Spring
1928,1928-05-12,Ford 4-AT-A Tri-Motor,NC1492,Ford Air Freight Lines,2,"Dearborn, MI",USA,Accident,hull-loss,Spring
1928,1928-05-23,Farman F.63bis Goliath,F-AEIE,SGTA,3,near KÃ¶ln-Butzweiler...,Germany,Accident,hull-loss,Spring
1928,1928-08-25,Ford 4-AT-B Tri-Motor,G-CATX,British Columbia Airways,7,"near Port Townsend, WA",USA,Accident,hull-loss,Summer
1928,1928-09-25,Junkers G.31de,D-1427,Deutsche Lufthansa,0,Arnsberg,Germany,Accident,hull-loss,Fall
1928,1928-10-13,Ford 4-AT-A Tri-Motor,NC880,Stout Air Services,0,"Detroit, MI",USA,Accident,hull-loss,Fall
1928,1928-11-23,Ford 4-AT-B Tri-Motor,NC7687,Spokane Airways,3,"Moran Prairie, S...",USA,Accident,hull-loss,Fall
1928,1928-12-01,Ford 4-AT-C Tri-Motor,NC7862,Sunbeam Air Transport Co.,5,"near Spur, TX",USA,Accident,hull-loss,Winter
1928,1928-12-11,Junkers G.31fi,D-1473,Deutsche Lufthansa,3,Letzlingen,Germany,Accident,hull-loss,Winter
1928,1928-12-22,Ford 4-AT-A Tri-Motor,NC3443,Texaco,0,"Floresville, TX",USA,Accident,hull-loss,Winter
1929,1929-01-16,Ford 4-AT-A Tri-Motor,NC1076,Stout Air Services,0,"near Toledo, OH",USA,Accident,hull-loss,Winter
1929,1929-03-17,Ford 4-AT-B Tri-Motor,NC7683,Colonial Western Airlines,14,"near Newark Airport, ...",USA,Accident,hull-loss,Spring
1929,1929-03-19,Ford 5-AT-B Tri-Motor,NC9674,Ford Motor Company,4,"Dearborn, MI",USA,Accident,hull-loss,Spring
1929,1929-04-12,Dornier Do R4 Superwal,I-RIDE,SANA,0,near Napoli,Italy,Other Occurrence,hull-loss,Spring
1929,1929-04-21,Ford 5-AT-B Tri-Motor,NC9636,Maddux Airlines,6,near San Diego Airpor...,USA,Accident,hull-loss,Spring
1929,1929-05-16,Vickers 170 Vanguard,G-EBCP,Vickers-Armstrongs,2,Shepperton,U.K.,Accident,hull-loss,Spring
1929,1929-05-19,Farman F.63bis Goliath,F-GEAI,Air Union,0,"Paddock Wood, Kent",U.K.,Accident,hull-loss,Spring
1929,1929-06-02,Fokker F.10A,NC393E,Western Air Express,0,"Wichita, KS",USA,Other Occurrence,hull-loss,Summer
1929,1929-06-13,Fokker F.10A,NC9700,Pan Am,2,Santiago Airport...,Cuba,Accident,hull-loss,Summer
1929,1929-06-17,Handley Page W.10,G-EBMT,Imperial Airways,7,near Dungeness,U.K.,Accident,hull-loss,Summer
1929,1929-06-24,Ford 5-AT-A Tri-Motor,NC7416,Northwest Airways,1,"Saint Paul, MN",USA,Accident,hull-loss,Summer
1929,1929-08-29,Junkers G.24li,SE-AAF,AB Aerotransport,0,Emsland,Germany,Accident,hull-loss,Summer
1929,1929-09-03,Ford 5-AT-B Tri-Motor,NC9649,Transcontinental Air Transport - TAT,8,"near Gallup, NM",USA,Accident,hull-loss,Fall
1929,1929-09-06,DH.66 Hercules,G-EBMZ,Imperial Airways,3,Jask Airport,Iran,Accident,hull-loss,Fall
1929,1929-09-10,Rohrbach Ro X Romar I,D-1734,Deutsche Lufthansa,0,near GrÃ¶mitz,Germany,Accident,hull-loss,Fall
1929,1929-10-19,Sabca (Handley Page) W.8B,OO-AHK,Sabena,0,Edegem,Belgium,Accident,hull-loss,Fall
1929,1929-10-26,Short S.8/1 Calcutta,G-AADN,Imperial Airways,7,near La Spezia,Italy,Accident,hull-loss,Fall
1929,1929-11-06,Junkers G.24bi,D-903,Deutsche Lufthansa,7,"near Godstone, Surrey",U.K.,Accident,hull-loss,Fall
1929,1929-11-18,Rohrbach Ro X Romar I,D-1693,Deutsche Lufthansa,0,LÃ¼beck-TravemÃ¼...,Germany,Accident,hull-loss,Fall
1929,1929-11-27,Fokker F.32,NX124M,Fokker Aircraft Corp. of America,0,near Hempstead-Roosev...,USA,Accident,hull-loss,Fall
1929,1929-12-04,Curtiss B-2 Condor (Condor 18),29-28,USAAC,1,"Goodwater, AL",USA,Accident,hull-loss,Winter
1929,1929-12-12,Farman F.180T,F-AIVR,SGTA,0,Toussus-le-Noble,France,Other Occurrence,hull-loss,Winter
1929,1929-12-26,Fokker F.10,NC5358,Western Air Express,0,Oakland Municipa...,USA,Accident,hull-loss,Winter
1930,1930-01-19,Ford 5-AT-C Tri-Motor,NC9689,Maddux Airlines,16,"Oceanside, CA",USA,Accident,hull-loss,Winter
1930,1930-02-07,Junkers R-42 (G.24),J6,Chilean AF,2,near Punta Arenas,Chile,Accident,hull-loss,Winter
1930,1930-02-08,Ford 4-AT-A Tri-Motor,NC2492,Private,0,"San Marcos, TX",USA,Accident,hull-loss,Winter
1930,1930-02-10,Farman F.63bis Goliath,F-FHMY,Air Union,2,"Marden, Kent",U.K.,Accident,hull-loss,Winter
1930,1930-02-14,DH.66 Hercules,G-EBNA,Imperial Airways,0,Gaza,Israel,Accident,hull-loss,Winter
1930,1930-02-23,Fokker F.10A,NC279E,Western Air Express,3,"near San Bernardino, CA",USA,Accident,hull-loss,Winter
1930,1930-03-02,Ford 4-AT-A Tri-Motor,R-131,NYRBA,0,Cordoba,Argentina,Accident,hull-loss,Spring
1930,1930-06-05,Ford 5-AT-B Tri-Motor,NC9675,Colonial Air Transport,1,"Boston, MA",USA,Accident,hull-loss,Summer
1930,1930-06-25,Ford 5-AT-A Tri-Motor,NC7739,Northwest Airways,0,Chicago Municipa...,USA,Other Occurrence,hull-loss,Summer
1930,1930-06-25,Fokker F.10A,NC457E,Universal Airlines,0,"Chicago, IL",USA,Other Occurrence,hull-loss,Summer
1930,1930-06-25,Fokker F.10A,NC879E,Universal Airlines,0,"Chicago, IL",USA,Other Occurrence,hull-loss,Summer
1930,1930-06-25,Fokker F.10A,NC803E,Universal Airlines,0,"Chicago, IL",USA,Other Occurrence,hull-loss,Summer
1930,1930-06-25,Fokker F.10A,NC135E,Universal Airlines,0,"Chicago, IL",USA,Other Occurrence,hull-loss,Summer
1930,1930-06-25,Fokker F.10,NC8010,Shell Oil,0,"Chicago, IL",USA,Other Occurrence,hull-loss,Summer
1930,1930-06-25,Fokker F.10,NC5614,Northern Airlines,0,"Chicago, IL",USA,Other Occurrence,hull-loss,Summer
1930,1930-07-09,Farman F.63bis Goliath,F-ADFQ,SGTA,1,Aalsmeer,Netherlands,Accident,hull-loss,Summer
1930,1930-08-04,Ford JR-3 (5-AT-C) Tri-Motor,A8598,USMC,0,"Ocotal, Nueva Se...",Nicaragua,Accident,hull-loss,Summer
1930,1930-08-22,Ford 5-AT-C Tri-Motor,OK-FOR,CSA,12,Jihlava (Iglau),Czech Rep.,Accident,hull-loss,Summer
1930,1930-09-03,Fokker F.10A,NC810H,Pan Am,0,Santo Domingo,Dominican Rep.,Other Occurrence,hull-loss,Fall
1930,1930-10-30,Handley Page W.8g,G-EBIX,Imperial Airways,3,"Boulogne, Paris",France,Accident,hull-loss,Fall
1930,1930-11-07,Junkers G.24,P-BAHA,Syndicato Condor,1,"near Iguape, SP",Brazil,Accident,hull-loss,Fall
1930,1930-11-21,Ford 4-AT-B Tri-Motor,NC7118,Curtiss-Wright Flying Service,0,"Burbank, CA",USA,Other Occurrence,hull-loss,Fall
1930,1930-11-21,Dornier Do R4 Superwal,I-RONY,SANA,6,"near Cap de Creus, Spain",Mediterranean Sea,Accident,hull-loss,Fall
1930,1930-11-24,Ford 5-AT-C Tri-Motor,NX419H,Ford Motor Company,2,"Dearborn, MI",USA,Accident,hull-loss,Fall
1930,1930-12-22,Fokker F.10,NC5170,Western Air Express,0,"Alhambra, CA",USA,Accident,hull-loss,Winter
1931,1931-01-27,Ford 5-AT-B Tri-Motor,NC9647,TWA,0,"Harrisburg, PA",USA,Accident,hull-loss,Winter
1931,1931-02-21,Ford Tri-Motor,,Panagra,0,Arequipa Airport...,Peru,Hijacking,repairable damage,Winter
1931,1931-03-31,Fokker F.10A,NC999E,TWA,8,"near Bazaar, KS",USA,Accident,hull-loss,Spring
1931,1931-04-01,Ford 5-AT-C Tri-Motor,NC8418,Panagra,0,Ovalle Airport (...,Chile,Accident,hull-loss,Spring
1931,1931-04-17,Ford 5-AT-C Tri-Motor,CV-FAI,Private,0,"near Mohania, Bihar",India,Accident,hull-loss,Spring
1931,1931-04-18,Junkers F.24ko (G.24),D-896,Deutsche Lufthansa,0,Gex (Ain),France,Accident,repairable damage,Spring
1931,1931-04-19,DH.66 Hercules,G-EBMW,Imperial Airways,0,near Kupang,Indonesia,Accident,hull-loss,Spring
1931,1931-04-22,A.W. Argosy II,G-AACH,Imperial Airways,0,London-Croydon A...,U.K.,Accident,hull-loss,Spring
1931,1931-04-29,Ford 5-AT-C Tri-Motor,NC421H,National Air Transport,0,"near Elyria, OH",USA,Accident,hull-loss,Spring
1931,1931-06-11,Junkers G.24,SE-AAG,AB Aerotransport,0,MalmÃ¶-Bulltofta...,Sweden,Other Occurrence,hull-loss,Summer
1931,1931-06-16,A.W. Argosy IA,G-EBLO,Imperial Airways,0,Aswan,Egypt,Accident,hull-loss,Summer
1931,1931-08-04,Fokker F.IX,PH-AFK,KLM,0,Rotterdam-Waalha...,Netherlands,Accident,hull-loss,Summer
1931,1931-08-09,Ford 5-AT-B Tri-Motor,NC9662,American Airways,6,"Cincinnati, OH",USA,Accident,hull-loss,Summer
1931,1931-08-19,Ford 5-AT-B Tri-Motor,NC9554,TWA,0,"Pittsburgh, PA",USA,Accident,hull-loss,Summer
1931,1931-08-27,Sikorsky S.41B,NC41V,Boston-Maine Airways,1,"near Gloucester, MA",USA,Accident,hull-loss,Summer
1931,1931-09-19,Ford XB-906 (Tri-Motor),NX9652,Ford Motor Company,2,"near Dearborn, MI",USA,Accident,hull-loss,Fall
1931,1931-10-27,Ford 5-AT-C Tri-Motor,NC427H,National Air Transport,0,"Ashley, IN",USA,Accident,hull-loss,Fall
1931,1931-12-19,Ford 4-AT-E Tri-Motor,NC7119,TWA,1,"Oklahoma City, OK",USA,Accident,hull-loss,Winter
1932,1932-03-15,Ford 4-AT-B Tri-Motor,NC4805,Skyway,0,Blackwell Airpor...,USA,Other Occurrence,hull-loss,Spring
1932,1932-03-19,Fokker F.10A,NC652E,American Airways,7,"Calimesa, CA",USA,Accident,hull-loss,Spring
1932,1932-07-10,Boeing 80A,NC229M,Boeing Air Transport,0,"Sterling, IL",USA,Accident,hull-loss,Summer
1932,1932-07-16,Ford 5-AT-C Tri-Motor,NC403H,Panagra,9,near Vitacura,Chile,Accident,hull-loss,Summer
1932,1932-07-29,Junkers Ju-52/3mce,D-2201,Deutsche Lufthansa,0,near Schleissheim Aer...,Germany,Accident,repairable damage,Summer
1932,1932-08-31,Junkers G.24,SE-AAE,AB Aerotransport,2,Tubbergen,Netherlands,Accident,hull-loss,Summer
1932,1932-09-08,Fokker F.10A,NC9716,American Airways,3,"near Salt Flat, TX",USA,Accident,hull-loss,Fall
1932,1932-09-17,LiorÃ© et Olivier 212,F-AIFE,Air Union,1,Selsdon Park,U.K.,Accident,hull-loss,Fall
1932,1932-10-02,Ford 5-AT-B Tri-Motor,NC9664,Pan Am,0,"El Aceituno, Cho...",Honduras,Accident,hull-loss,Fall
1932,1932-10-26,Ford 5-AT-D Tri-Motor,unreg.,LAB,2,"Villamontes, Gra...",Bolivia,Accident,hull-loss,Fall
1932,1932-12-14,Ford 5-AT-B Tri-Motor,NC9650,TWA,2,Amarillo-English...,USA,Accident,hull-loss,Winter
1933,1933-01-13,LiorÃ© et Olivier 213,F-AJNS,Air Union,0,Poix-de-Picardie,France,Accident,hull-loss,Winter
1933,1933-01-14,Curtiss Condor 18,NC185H,Eastern Air Transport,2,"Newark, NJ",USA,Accident,hull-loss,Winter
1933,1933-01-24,Ford 5-AT-D Tri-Motor,NC431H,Pacific Air Transport,2,"Eugene, OR",USA,Accident,hull-loss,Winter
1933,1933-02-10,Ford 5-AT-B Tri-Motor,NC9666,TWA,0,"Bakersfield, CA",USA,Accident,hull-loss,Winter
1933,1933-03-22,Ford JR-3 (5-AT-C) Tri-Motor,A8599,USMC,0,"Virginia Beach, VA",USA,Accident,hull-loss,Spring
1933,1933-03-28,A.W. Argosy II,G-AACI,Imperial Airways,15,near Diksmuide,Belgium,Accident,hull-loss,Spring
1933,1933-03-31,Ford 4-AT-B Tri-Motor,NC7686,Private,7,"near Neodesha, KS",USA,Accident,hull-loss,Spring
1933,1933-06-02,Ford 4-AT-E Tri-Motor,NR9614,Plane Speaker Corporation,0,Hempstead-Roosev...,USA,Other Occurrence,hull-loss,Summer
1933,1933-08-11,Dornier Do R4 Superwal,I-RATA,SANA,0,near Valencia,Spain,Accident,hull-loss,Summer
1933,1933-08-29,Ford 5-AT-B Tri-Motor,NC9607,TWA,5,"near Quay, NM",USA,Accident,hull-loss,Summer
1933,1933-09-21,Curtiss T-32 Condor II,NC12373,Eastern Air Transport,0,"Newark, NJ",USA,Accident,hull-loss,Fall
1933,1933-10-18,Ford 4-AT-B Tri-Motor,NC4806,Private,3,Managua,Nicaragua,Accident,hull-loss,Fall
1933,1933-11-16,LiorÃ© et Olivier 213,F-AIFD,Air France,0,near Beauvais,France,Accident,hull-loss,Fall
1933,1933-11-21,Kalinin K-7,,Kalinin Design Bureau,15,near Kharkov,Ukraine,Accident,hull-loss,Fall
1934,1934-01-15,Dewoitine D.332,F-AMMY,Air France,10,Corbigny,France,Accident,hull-loss,Winter
1934,1934-03-05,Ford 4-AT-B Tri-Motor,NC7120,Morgan Air Lines,1,ToncontÃ­n,Honduras,Accident,hull-loss,Spring
1934,1934-03-22,Ford 5-AT-C Tri-Motor,NC407H,Panagra,4,Lima-Limatambo A...,Peru,Accident,hull-loss,Spring
1934,1934-05-31,LiorÃ© et Olivier 213,F-AIVG,Air France,2,Croydon,U.K.,Accident,hull-loss,Spring
1934,1934-06-09,Curtiss T-32 Condor II,NC12354,American Airways,7,near Livingston Manor...,USA,Accident,hull-loss,Summer
1934,1934-06-11,Ford C-4A (5-AT-D) Tri-Motor,31-403,USAAC,0,"Camp Skeel, Osco...",USA,Accident,hull-loss,Summer
1934,1934-06-11,Ford 5-AT-C Tri-Motor,NC8417,Panagra,5,Junin,Argentina,Accident,hull-loss,Summer
1934,1934-06-23,Ford 4-AT-B Tri-Motor,NC7685,Mulzer Flying Service,0,"Columbus, OH",USA,Other Occurrence,hull-loss,Summer
1934,1934-07-01,Ford 4-AT-D Tri-Motor,NC7586,Private,0,"Lima, OH",USA,Accident,hull-loss,Summer
1934,1934-07-27,Curtiss AT-32C Condor II,CH-170,Swissair,12,Wurmlingen/Tuttl...,Germany,Accident,hull-loss,Summer
1934,1934-09-02,Ford 5-AT-D Tri-Motor,NC9655,Hanford's Tri-State Airlines,0,"Cochrane, WI",USA,Accident,hull-loss,Fall
1934,1934-09-22,Handley Page W.10,G-EBMM,National Aviation Displays,4,"Aston Clinton, B...",U.K.,Accident,hull-loss,Fall
1934,1934-10-19,DH.86 Express,VH-URN,Holyman's Airways,11,near Wilsons Promonto...,Australia,Accident,hull-loss,Fall
1934,1934-10-26,Ford 4-AT-E Tri-Motor,NC8403,Ptarmigan Airlines,0,"Flat Airport, AK...",USA,Accident,hull-loss,Fall
1934,1934-10-29,Ford 4-AT-.  Tri-Motor,,TACA de Honduras,0,La Ceiba Airport...,Honduras,Other Occurrence,hull-loss,Fall
1934,1934-11-06,Junkers Ju-52/3mge,D-AVAN,Deutsche Reichsbahn-Gesellschaft,5,"Gross-Rackitt, P...",Poland,Accident,hull-loss,Fall
1934,1934-11-15,DH.86 Express,VH-USG,Qantas,4,"near Ilfracombe, QLD",Australia,Accident,hull-loss,Fall
1934,1934-12-10,Ford 4-AT-E Tri-Motor,NM-7,Cubana,4,near Palma Soriano,Cuba,Accident,hull-loss,Winter
1934,1934-12-19,Curtiss AT-32B Condor II,NC12395,American Airways,0,"Buffalo, NY",USA,Accident,hull-loss,Winter
1934,1934-12-20,Douglas DC-2-115A,PH-AJU,KLM,7,near Rutbah Wells,Iraq,Accident,hull-loss,Winter
1934,1934-12-28,Curtiss T-32C Condor II,NC12363,American Airways,0,"near Wilmurt, NY",USA,Accident,hull-loss,Winter
1934,,Ford 4-AT-B Tri-Motor,NC9609,Private,0,"Boca Chica, Tama...",Mexico,Other Occurrence,hull-loss,
1935,1935-01-31,Junkers Ju-52/3mge,D-AREN,Deruluft,11,near Szczecin,Poland,Accident,hull-loss,Winter
1935,1935-04-06,Fokker F.XII,PH-AFL,KLM,7,near Brilon,Germany,Accident,hull-loss,Spring
1935,1935-04-16,Consolidated 16 Commodore,NC660M,Pan Am,0,"Miami, FL",USA,Other Occurrence,hull-loss,Spring
1935,1935-04-25,Junkers Ju-52/3mho,D-AJYR,Deutsche Lufthansa,3,near Hallgarten,Germany,Accident,hull-loss,Spring
1935,1935-04-28,Ford 4-AT-B Tri-Motor,NC7863,Private,0,"Gadsden, AL",USA,Accident,hull-loss,Spring
1935,1935-05-06,Douglas DC-2-112,NC13785,TWA,5,"near Atlanta, MO",USA,Accident,hull-loss,Spring
1935,1935-05-07,Ford 4-AT-.  Tri-Motor,,private,1,Lake Izabal,Guatemala,Accident,hull-loss,Spring
1935,1935-05-18,Tupolev ANT-20 Maxim Gorky,CCCP-I20,Tupolev,44,Moscow,Russia,Accident,hull-loss,Spring
1935,1935-05-18,Ford 4-AT-E Tri-Motor,NC7864,Knowles Flying Service,3,Flint-Bishop Air...,USA,Accident,hull-loss,Spring
1935,1935-06-22,Savoia-Marchetti S-66,I-NAVE,Ala Littoria,0,Marsaxlokk Bay,Malta,Accident,hull-loss,Summer
1935,1935-06-24,Ford 5-AT-B Tri-Motor,F-31,SACO,10,MedellÃ­n-Enriqu...,Colombia,Accident,hull-loss,Summer
1935,1935-06-24,Ford 5-AT-D Tri-Motor,C-31,SCADTA,7,MedellÃ­n-Enriqu...,Colombia,Accident,hull-loss,Summer
1935,1935-07-09,Savoia-Marchetti S-66,I-REDI,Ala Littoria,0,"near MahÃ³n, Menorca",Spain,Accident,hull-loss,Summer
1935,1935-07-14,Fokker F.XXII,PH-AJQ,KLM,6,near Amsterdam-Schiph...,Netherlands,Accident,hull-loss,Summer
1935,1935-07-17,Douglas DC-2-115E,PH-AKM,KLM,0,Bushehr (Bushire...,Iran,Accident,hull-loss,Summer
1935,1935-07-20,Douglas DC-2-115E,PH-AKG,KLM,13,Pian San Giacomo,Switzerland,Accident,hull-loss,Summer
1935,1935-07-22,Junkers Ju-52/3m,,German AF,11,HanskÃ¼hnenburg,Germany,Accident,hull-loss,Summer
1935,1935-07-27,Curtiss AT-32B Condor II,NC12393,American Airways,0,"Murfreesboro, TN",USA,Accident,hull-loss,Summer
1935,1935-08-03,Douglas DC-2-112,NC13722,TWA,0,"near Albuquerque, NM",USA,Accident,hull-loss,Summer
1935,1935-10-02,DH.86 Express,VH-URT,Holyman's Airways,5,"near Flinders Island,...",Australia,Accident,hull-loss,Fall
1935,1935-10-06,Douglas DC-2A-127,NC14285,Standard Oil Company,3,"Great Salt Lake, UT",USA,Accident,hull-loss,Fall
1935,1935-10-21,Curtiss Condor 18,NC725K,Chamberlin Flying Service,1,"Troy, NY",USA,Accident,hull-loss,Fall
1935,1935-10-22,DH.86 Express,G-ADCM,Imperial Airways,0,Zwettl,Austria,Accident,hull-loss,Fall
1935,1935-10-24,Ford 5-AT-C Tri-Motor,,Private,0,Hankow,China,Criminal Occurrence,hull-loss,Fall
1935,1935-10-25,Boulton Paul P.71A,G-ACOY,Imperial Airways,0,Brussel-Haren Ai...,Belgium,Accident,hull-loss,Fall
1935,1935-11-07,Savoia-Marchetti S.73P,OO-AGM,Sabena,0,London-Croydon A...,U.K.,Accident,hull-loss,Fall
1935,1935-11-09,Ford 5-AT-.  Tri-Motor,,TACA de Honduras,0,near Jutiapa,Honduras,Accident,hull-loss,Fall
1935,1935-11-09,Short S.17 Kent,G-ABFB,Imperial Airways,0,Brindisi,Italy,Other Occurrence,hull-loss,Fall
1935,1935-11-18,Junkers G.24he,PP-CAS,Syndicato Condor,0,"IlhÃ©us, BA",Brazil,Accident,hull-loss,Fall
1935,1935-12-10,Savoia-Marchetti S.73,OO-AGN,Sabena,11,Tatsfield,U.K.,Accident,hull-loss,Winter
1935,1935-12-10,Potez 62,F-ANPH,Air France,0,near Auxerre,France,Accident,hull-loss,Winter
1935,1935-12-24,Ford 5-AT-D Tri-Motor,NC433H,Panagra,4,Lima,Peru,Accident,hull-loss,Winter
1935,1935-12-31,Short S.8 Calcutta,G-AASJ,Imperial Airways,12,near Alexandria,Egypt,Accident,hull-loss,Winter
1936,1936-01-14,Douglas DC-2-120,NC14274,American Airlines,17,"Goodwin, AR",USA,Accident,hull-loss,Winter
1936,1936-01-14,Junkers Ju-52/3m,624,Colombian AF,13,near Tres Esquinas Ai...,Colombia,Accident,hull-loss,Winter
1936,1936-01-17,Junkers Ju-52/3mce,unreg.,LAB,13,near Cochabamba,Bolivia,Accident,hull-loss,Winter
1936,1936-02-28,Douglas DC-2-115B,HB-ITI,Swissair,0,ZÃ¼rich-DÃ¼bendo...,Switzerland,Accident,hull-loss,Winter
1936,1936-03-05,Ford 5-AT-D Tri-Motor,27,CNAC,0,near Zigong,China,Accident,hull-loss,Spring
1936,1936-03-16,Junkers Ju-52/3m,OE-LAL,ÃLAG,0,Saualpe,Austria,Accident,hull-loss,Spring
1936,1936-03-26,Ford 5-AT-B Tri-Motor,X-ABCO,Mexicana,14,near Amecameca de JuÃ...,Mexico,Accident,hull-loss,Spring
1936,1936-03-31,Ford 5-AT-D Tri-Motor,25,CNAC,0,Nanking Airport ...,China,Accident,hull-loss,Spring
1936,1936-04-07,Douglas DC-2-112,NC13721,TWA,12,"near Fairchance, PA",USA,Accident,hull-loss,Spring
1936,1936-04-11,Sikorsky S-42,NC824M,Pan Am,3,Port of Spain,Trinidad & Tobago,Accident,repairable damage,Spring
1936,1936-04-17,Junkers Ju-52/3m,D-ASOR,Deutsche Lufthansa,3,Orvin (Ilfingen),Switzerland,Accident,hull-loss,Spring
1936,1936-04-20,Douglas DC-2-115K,OK-AIA,CLS,0,near Elburg,Netherlands,Accident,hull-loss,Spring
1936,1936-05-08,LiorÃ©-et-Olivier H.242/1,F-ANQG,Air France,0,near Algerian coast,Mediterranean Sea,Accident,hull-loss,Spring
1936,1936-05-31,Douglas DC-2-172,NC14979,TWA,0,near Chicago Municipa...,USA,Accident,hull-loss,Spring
1936,1936-06-09,Fokker F.XXII,SE-ABA,AB Aerotransport,2,MalmÃ¶-Bulltofta...,Sweden,Accident,hull-loss,Summer
1936,1936-06-16,Junkers Ju-52/3m,LN-DAE,DNL,7,"Mount Lihesten, ...",Norway,Accident,hull-loss,Summer
1936,1936-07-07,Vickers Valentia,K3166,RAF,7,Mersa Matruh Air...,Egypt,Accident,hull-loss,Summer
1936,1936-07-09,Curtiss Condor 18,NC728K,Chamberlin Flying Service,0,Terre Haute-Hulm...,USA,Other Occurrence,hull-loss,Summer
1936,1936-07-20,Junkers Ju-52/3m,,German AF,2,Oberhof,Germany,Accident,hull-loss,Summer
1936,1936-07-26,Junkers G.38di,D-AZUR,Deutsche Lufthansa,0,Dessau,Germany,Accident,hull-loss,Summer
