year,date,type,registration,operator,fatalities,location,country,category,damage,season
1979,1979-04-08,Lockheed C-130H Hercules,116,Libyan Arab Rep. Air Force,0,Entebbe Airport ...,Uganda,Other Occurrence,hull-loss,Spring
1979,1979-04-11,Howard 350,N8GW,World Photography Co.,0,"near Belle Glade, FL",USA,Accident,hull-loss,Spring
1979,1979-04-15,BN-2A-8 Islander,C9-APQ,COMAG,0,Songo Airport,Mozambique,Criminal Occurrence,hull-loss,Spring
1979,1979-04-16,Convair CV-440,N94480,private,0,"near Key West, FL",USA,Accident,hull-loss,Spring
1979,1979-04-18,PBV-1A Canso A (PBY-5A),CC-CDS,Aeroservicios Parrague,3,Chiguayante,Chile,Accident,hull-loss,Spring
1979,1979-04-20,Douglas C-47A (DC-3),ET-AGU,Ethiopian Airlines,0,Oborso,Ethiopia,Accident,repairable damage,Spring
1979,1979-04-20,Fairchild F-27A,CC-CBR,Aeronor Chile,0,Iquique-Cavancha...,Chile,Accident,hull-loss,Spring
1979,1979-04-20,Howard 250,N48RM,South Central Aviation,2,near Tampico Airport ...,Mexico,Accident,hull-loss,Spring
1979,1979-04-23,Vickers 785D Viscount,HC-AVP,SAETA,57,Pastaza Province,Ecuador,Accident,hull-loss,Spring
1979,1979-04-26,Boeing 737-2A8,VT-ECR,Indian Airlines,0,Madras Airport (...,India,Criminal Occurrence,hull-loss,Spring
1979,1979-04-26,BN-2A-21 Islander,PK-KNG,Bali Int. Air Service,0,within Irian Jaya,Indonesia,Accident,hull-loss,Spring
1979,1979-04-27,Howard 350,N544B,Triple D Transport Co.,2,"near Guantanamo, Cuba...",Atlantic Ocean,Accident,hull-loss,Spring
1979,1979-04-28,IAI Arava 201,202,Ecuador Navy,2,within eastern,Ecuador,Accident,hull-loss,Spring
1979,1979-05-07,Douglas DC-3,TG-SAB,TAPSA,0,Flores-Santa Ele...,Guatemala,Accident,repairable damage,Spring
